,Geo_FIPS,Census Tract #,Median Contract Rent,Median Monthly Housing Costs,Total Renter Housing Units,"less than $20,000","20,000 to 34,999","35,000 To 49,999","50,000 To 74,999","less than 20,000 proportion","20,000 to 34,999 proportion","35,000 To 49,999 proportion","50,000 To 74,999 proportion",STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry,Housing Burden Index
1107,06037402501,Census Tract 4025.01,1005.0,1155.0,955,134,253,143,64,0.14031413612565444,0.2649214659685864,0.14973821989528796,0.06701570680628273,06,037,402501,1400000US06037402501,06037402501,4025.01,CT,1015920,0,"POLYGON ((-117.773544 34.05444, -117.769691 34.054618999999995, -117.769783 34.057339, -117.76765499999999 34.05838, -117.758907 34.058592, -117.758774 34.05489, -117.75546299999999 34.054062, -117.755371 34.051334, -117.758644 34.051258, -117.772491 34.050906999999995, -117.773544 34.05444))",18.0
1108,06037402502,Census Tract 4025.02,1187.0,1290.0,1261,266,316,144,155,0.21094369547977795,0.2505947660586836,0.11419508326724821,0.12291831879460745,06,037,402502,1400000US06037402502,06037402502,4025.02,CT,1474650,0,"POLYGON ((-117.772491 34.050906999999995, -117.758644 34.051258, -117.755371 34.051334, -117.75533300000001 34.05043, -117.74987 34.050568, -117.749779 34.04784, -117.749649 34.044205, -117.754013 34.04409, -117.763977 34.043865, -117.76516699999999 34.044627999999996, -117.77181999999999 34.046257, -117.771935 34.049046, -117.772491 34.050906999999995))",29.4
1109,06037402600,Census Tract 4026,963.0,1339.0,1173,198,168,190,91,0.16879795396419436,0.1432225063938619,0.16197783461210571,0.07757885763000852,06,037,402600,1400000US06037402600,06037402600,4026,CT,2281996,0,"POLYGON ((-117.752228 34.073789999999995, -117.741582 34.078153, -117.736732 34.080141, -117.736702 34.075825, -117.736694 34.072353, -117.736687 34.070983999999996, -117.736656 34.068722, -117.736633 34.064011, -117.736626 34.062714, -117.737137 34.061676, -117.73707 34.059273, -117.737061 34.059039999999996, -117.74142499999999 34.058932999999996, -117.74149299999999 34.060776, -117.741608 34.063885, -117.745972 34.063606, -117.750351 34.063496, -117.75200699999999 34.067627, -117.75209 34.069733, -117.752228 34.073789999999995))",28.8
1110,06037402702,Census Tract 4027.02,1047.0,1179.0,1229,365,331,78,39,0.2969894222945484,0.2693246541903987,0.06346623270951994,0.03173311635475997,06,037,402702,1400000US06037402702,06037402702,4027.02,CT,1500489,0,"POLYGON ((-117.737137 34.061676, -117.736626 34.062714, -117.736633 34.064011, -117.736656 34.068722, -117.731461 34.068737, -117.730209 34.06662, -117.727104 34.066708, -117.72628 34.06673, -117.717003 34.066925, -117.716599 34.066887, -117.718007 34.063175, -117.719481 34.059731, -117.723982 34.059638, -117.73707 34.059273, -117.737137 34.061676))",35.1
1111,06037402703,Census Tract 4027.03,1327.0,1650.0,468,45,68,49,85,0.09615384615384616,0.1452991452991453,0.1047008547008547,0.18162393162393162,06,037,402703,1400000US06037402703,06037402703,4027.03,CT,1076410,0,"POLYGON ((-117.736732 34.080141, -117.732789 34.081348, -117.728002 34.081447, -117.727997 34.079477, -117.722728 34.079504, -117.719254 34.079521, -117.711067 34.079536, -117.712087 34.077213, -117.712677 34.075893, -117.719246 34.075882, -117.722717 34.075874, -117.726334 34.075859, -117.736702 34.075825, -117.736732 34.080141))",22.9
1112,06037402705,Census Tract 4027.05,1622.0,1528.0,147,28,5,5,13,0.19047619047619047,0.034013605442176874,0.034013605442176874,0.08843537414965986,06,037,402705,1400000US06037402705,06037402705,4027.05,CT,865507,0,"POLYGON ((-117.736702 34.075825, -117.726334 34.075859, -117.726303 34.071014, -117.72628 34.06673, -117.727104 34.066708, -117.730209 34.06662, -117.731461 34.068737, -117.736656 34.068722, -117.736687 34.070983999999996, -117.736694 34.072353, -117.736702 34.075825))",15.8
1113,06037402706,Census Tract 4027.06,1422.0,1671.0,359,34,76,16,46,0.0947075208913649,0.2116991643454039,0.04456824512534819,0.12813370473537605,06,037,402706,1400000US06037402706,06037402706,4027.06,CT,1073872,0,"POLYGON ((-117.726334 34.075859, -117.722717 34.075874, -117.719246 34.075882, -117.712677 34.075893, -117.713409 34.074256999999996, -117.715019 34.070591, -117.716599 34.066887, -117.717003 34.066925, -117.72628 34.06673, -117.726303 34.071014, -117.726334 34.075859))",21.9
1114,06037402801,Census Tract 4028.01,978.0,1186.0,725,112,165,125,32,0.15448275862068966,0.22758620689655173,0.1724137931034483,0.044137931034482755,06,037,402801,1400000US06037402801,06037402801,4028.01,CT,1804259,4003,"POLYGON ((-117.74786399999999 34.055164, -117.74130199999999 34.055324999999996, -117.74142499999999 34.058932999999996, -117.737061 34.059039999999996, -117.73707 34.059273, -117.723982 34.059638, -117.719481 34.059731, -117.719547 34.059476, -117.720837 34.055854, -117.722224 34.052183, -117.736809 34.051795999999996, -117.74118 34.051688999999996, -117.745544 34.051586, -117.747726 34.051533, -117.74786399999999 34.055164))",41.4
1115,06037402803,Census Tract 4028.03,1301.0,1418.0,429,54,112,55,23,0.1258741258741259,0.26107226107226106,0.1282051282051282,0.053613053613053616,06,037,402803,1400000US06037402803,06037402803,4028.03,CT,630282,0,"POLYGON ((-117.74987 34.050568, -117.74769599999999 34.050621, -117.747726 34.051533, -117.745544 34.051586, -117.74118 34.051688999999996, -117.740921 34.044422, -117.745277 34.044315, -117.749649 34.044205, -117.749779 34.04784, -117.74987 34.050568))",22.6
1116,06037402804,Census Tract 4028.04,1198.0,1304.0,716,132,107,67,69,0.18435754189944134,0.1494413407821229,0.0935754189944134,0.09636871508379888,06,037,402804,1400000US06037402804,06037402804,4028.04,CT,1311060,0,"POLYGON ((-117.74118 34.051688999999996, -117.736809 34.051795999999996, -117.722224 34.052183, -117.723564 34.048469, -117.7236 34.047917, -117.724385 34.045521, -117.724434 34.044865, -117.736549 34.044529, -117.740921 34.044422, -117.74118 34.051688999999996))",21.8
1117,06037402902,Census Tract 4029.02,1136.0,1303.0,800,108,180,20,46,0.135,0.225,0.025,0.0575,06,037,402902,1400000US06037402902,06037402902,4029.02,CT,1845219,0,"POLYGON ((-117.748871 34.024574, -117.749245 34.033305999999996, -117.749649 34.044205, -117.745277 34.044315, -117.740921 34.044422, -117.740524 34.033527, -117.740402 34.029892, -117.740199 34.024387, -117.748865 34.023143, -117.749906 34.024122, -117.748871 34.024574))",17.3
1118,06037402903,Census Tract 4029.03,1080.0,1551.0,437,112,144,2,75,0.2562929061784897,0.3295194508009153,0.004576659038901602,0.17162471395881007,06,037,402903,1400000US06037402903,06037402903,4029.03,CT,1594430,0,"POLYGON ((-117.740921 34.044422, -117.736549 34.044529, -117.724434 34.044865, -117.72608 34.040935, -117.728059 34.033543, -117.729347 34.033778999999996, -117.740524 34.033527, -117.740921 34.044422))",27.2
1119,06037402904,Census Tract 4029.04,1415.0,1513.0,175,0,13,54,50,0.0,0.07428571428571429,0.30857142857142855,0.2857142857142857,06,037,402904,1400000US06037402904,06037402904,4029.04,CT,1903979,0,"POLYGON ((-117.748865 34.023143, -117.740199 34.024387, -117.740402 34.029892, -117.740524 34.033527, -117.729347 34.033778999999996, -117.728059 34.033543, -117.72867600000001 34.029835, -117.72948099999999 34.025138999999996, -117.730125 34.021370999999995, -117.731717 34.020589, -117.735344 34.0188, -117.735846 34.018554, -117.744342 34.019852, -117.744385 34.019859, -117.745378 34.020018, -117.745417 34.020024, -117.748865 34.023143))",19.0
1120,06037403000,Census Tract 4030,1701.0,1762.0,363,43,53,43,87,0.1184573002754821,0.14600550964187328,0.1184573002754821,0.2396694214876033,06,037,403000,1400000US06037403000,06037403000,4030,CT,2416493,1922,"POLYGON ((-117.77181999999999 34.046257, -117.76516699999999 34.044627999999996, -117.763977 34.043865, -117.754013 34.04409, -117.749649 34.044205, -117.749245 34.033305999999996, -117.748871 34.024574, -117.749906 34.024122, -117.761664 34.035171, -117.769305 34.042214, -117.77074400000001 34.043568, -117.773522 34.046197, -117.77181999999999 34.046257))",15.0
1121,06037403200,Census Tract 4032,,,0,0,0,0,0,,,,,06,037,403200,1400000US06037403200,06037403200,4032,CT,2520039,845,"POLYGON ((-117.825299 34.034136, -117.825245 34.034335999999996, -117.825118 34.034318999999996, -117.825095 34.035171999999996, -117.825101 34.036626999999996, -117.82481 34.036619, -117.824127 34.037891, -117.815956 34.043811999999996, -117.81201300000001 34.048386, -117.808556 34.047149999999995, -117.804039 34.046206999999995, -117.802834 34.045486, -117.801627 34.044271, -117.801631 34.042876, -117.802444 34.04097, -117.809752 34.030908, -117.809942 34.030992999999995, -117.810764 34.029647, -117.810878 34.029426, -117.818321 34.034422, -117.821482 34.03121, -117.823795 34.033442, -117.825001 34.032159, -117.82457 34.033688999999995, -117.825199 34.034003, -117.825347 34.034003999999996, -117.825299 34.034136))",
1122,06037403303,Census Tract 4033.03,2225.0,1698.0,164,21,15,4,55,0.12804878048780488,0.09146341463414634,0.024390243902439025,0.3353658536585366,06,037,403303,1400000US06037403303,06037403303,4033.03,CT,4364899,89351,"POLYGON ((-117.871543 34.003045, -117.869335 34.003979, -117.863254 34.007259999999995, -117.858702 34.009841, -117.85435 34.01243, -117.85192599999999 34.014132, -117.849661 34.015768, -117.848303 34.016701, -117.846358 34.017728999999996, -117.841704 34.019436, -117.840405 34.020261999999995, -117.8403 34.020126, -117.840299 34.018437, -117.841532 34.016728, -117.84187 34.016251, -117.845383 34.010894, -117.846139 34.009648999999996, -117.846212 34.009533999999995, -117.846315 34.00931, -117.846452 34.008798999999996, -117.846501 34.008506, -117.846501 34.008289, -117.846502 34.007329, -117.846276 34.002719, -117.844739 34.000526, -117.84423100000001 33.999905, -117.850455 33.998565, -117.855006 33.996595, -117.858358 33.994067, -117.859062 33.992961, -117.860226 33.991665999999995, -117.86976899999999 33.986837, -117.870087 33.988437, -117.869727 33.993013, -117.869797 33.995187, -117.87011 33.996214, -117.870783 33.998238, -117.871037 33.999047, -117.871354 34.000012999999996, -117.871522 34.001563, -117.871543 34.003045))",19.4
1123,06037403304,Census Tract 4033.04,2190.0,2155.0,246,11,11,10,42,0.044715447154471545,0.044715447154471545,0.04065040650406504,0.17073170731707318,06,037,403304,1400000US06037403304,06037403304,4033.04,CT,3645619,1898,"POLYGON ((-117.86976899999999 33.986837, -117.860226 33.991665999999995, -117.859062 33.992961, -117.858358 33.994067, -117.855006 33.996595, -117.850455 33.998565, -117.84423100000001 33.999905, -117.842995 33.99794, -117.842273 33.995399, -117.841919 33.993103, -117.842614 33.990276, -117.842906 33.986548, -117.842656 33.984311999999996, -117.852136 33.983354, -117.853201 33.983015, -117.854501 33.982054, -117.85512 33.980948999999995, -117.855225 33.980442, -117.855095 33.974843, -117.857017 33.974772, -117.85824099999999 33.975415999999996, -117.862502 33.979980999999995, -117.866907 33.982813, -117.869142 33.985521, -117.869874 33.986777, -117.86976899999999 33.986837))",15.1
1124,06037403305,Census Tract 4033.05,2423.0,2295.0,189,6,0,0,32,0.031746031746031744,0.0,0.0,0.1693121693121693,06,037,403305,1400000US06037403305,06037403305,4033.05,CT,1481588,0,"POLYGON ((-117.85512 33.980948999999995, -117.854501 33.982054, -117.853201 33.983015, -117.852136 33.983354, -117.842656 33.984311999999996, -117.841574 33.980875999999995, -117.841555 33.979392, -117.842119 33.977149, -117.843209 33.975372, -117.848834 33.968371999999995, -117.850247 33.969923, -117.850881 33.972615, -117.853779 33.974728999999996, -117.855095 33.974843, -117.855225 33.980442, -117.85512 33.980948999999995))",16.6
1125,06037403312,Census Tract 4033.12,1941.0,1755.0,366,14,47,0,84,0.03825136612021858,0.1284153005464481,0.0,0.22950819672131148,06,037,403312,1400000US06037403312,06037403312,4033.12,CT,6925582,30053,"POLYGON ((-117.846501 34.008289, -117.846501 34.008506, -117.846452 34.008798999999996, -117.846315 34.00931, -117.846212 34.009533999999995, -117.846139 34.009648999999996, -117.845383 34.010894, -117.84187 34.016251, -117.841532 34.016728, -117.840299 34.018437, -117.8403 34.020126, -117.840405 34.020261999999995, -117.839299 34.021073, -117.83713399999999 34.025476, -117.835645 34.027446999999995, -117.833835 34.028403, -117.828132 34.030944999999996, -117.826412 34.032224, -117.825199 34.034003, -117.82457 34.033688999999995, -117.825001 34.032159, -117.823795 34.033442, -117.821482 34.03121, -117.818321 34.034422, -117.810878 34.029426, -117.811207 34.028796, -117.811666 34.027667, -117.81311099999999 34.022045999999996, -117.814101 34.020994, -117.820513 34.012775999999995, -117.823193 34.010101999999996, -117.827587 34.006008, -117.830681 34.003639, -117.833457 34.002196, -117.835129 34.001796, -117.844739 34.000526, -117.846276 34.002719, -117.846502 34.007329, -117.846501 34.008289))",10.9
