Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A10032_001,SE_A10032_002,SE_A10032_003,SE_A10032_004,SE_A10032_005,SE_A10032_006,SE_A10032_007,SE_A10032_008,SE_A10032_009,SE_A10032_010,SE_A10032_011,SE_A10032_012,PCT_SE_A10032_002,PCT_SE_A10032_003,PCT_SE_A10032_004,PCT_SE_A10032_005,PCT_SE_A10032_006,PCT_SE_A10032_007,PCT_SE_A10032_008,PCT_SE_A10032_009,PCT_SE_A10032_010,PCT_SE_A10032_011,PCT_SE_A10032_012
6037670324,14000US06037670324,Census Tract 6703.24,"Census Tract 6703.24, Los Angeles County, California",ca,140,0,ACSSF,5961,,,,,6,37,,,,670324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2183,1989,1967,22,0,29,81,73,11,0,0,0,91.11,90.11,1.01,0,1.33,3.71,3.34,0.5,0,0,0
6037670326,14000US06037670326,Census Tract 6703.26,"Census Tract 6703.26, Los Angeles County, California",ca,140,0,ACSSF,5962,,,,,6,37,,,,670326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1521,1521,1511,10,0,0,0,0,0,0,0,0,100,99.34,0.66,0,0,0,0,0,0,0,0
6037670328,14000US06037670328,Census Tract 6703.28,"Census Tract 6703.28, Los Angeles County, California",ca,140,0,ACSSF,5963,,,,,6,37,,,,670328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1648,1648,0,0,0,37,46,55,9,0,0,91.81,91.81,0,0,0,2.06,2.56,3.06,0.5,0,0
6037670403,14000US06037670403,Census Tract 6704.03,"Census Tract 6704.03, Los Angeles County, California",ca,140,0,ACSSF,5964,,,,,6,37,,,,670403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021,919,914,5,0,5,0,11,54,26,0,6,90.01,89.52,0.49,0,0.49,0,1.08,5.29,2.55,0,0.59
6037670405,14000US06037670405,Census Tract 6704.05,"Census Tract 6704.05, Los Angeles County, California",ca,140,0,ACSSF,5965,,,,,6,37,,,,670405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230,1060,711,349,0,0,15,0,40,115,0,0,86.18,57.8,28.37,0,0,1.22,0,3.25,9.35,0,0
6037670406,14000US06037670406,Census Tract 6704.06,"Census Tract 6704.06, Los Angeles County, California",ca,140,0,ACSSF,5966,,,,,6,37,,,,670406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679,662,511,151,0,11,6,0,0,0,0,0,97.5,75.26,22.24,0,1.62,0.88,0,0,0,0,0
6037670407,14000US06037670407,Census Tract 6704.07,"Census Tract 6704.07, Los Angeles County, California",ca,140,0,ACSSF,5967,,,,,6,37,,,,670407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418,1204,667,537,0,170,117,223,413,291,0,0,49.79,27.58,22.21,0,7.03,4.84,9.22,17.08,12.03,0,0
6037670411,14000US06037670411,Census Tract 6704.11,"Census Tract 6704.11, Los Angeles County, California",ca,140,0,ACSSF,5968,,,,,6,37,,,,670411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672,1640,1640,0,0,0,0,0,19,0,13,0,98.09,98.09,0,0,0,0,0,1.14,0,0.78,0
6037670413,14000US06037670413,Census Tract 6704.13,"Census Tract 6704.13, Los Angeles County, California",ca,140,0,ACSSF,5969,,,,,6,37,,,,670413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1927,1604,1536,68,18,0,9,7,159,130,0,0,83.24,79.71,3.53,0.93,0,0.47,0.36,8.25,6.75,0,0
6037670416,14000US06037670416,Census Tract 6704.16,"Census Tract 6704.16, Los Angeles County, California",ca,140,0,ACSSF,5970,,,,,6,37,,,,670416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734,1187,1171,16,0,292,99,57,24,75,0,0,68.45,67.53,0.92,0,16.84,5.71,3.29,1.38,4.33,0,0
